         time tilt_low_s... 
------------- ------------- 
 3.976956e-05  6.204532e-02 
 4.374652e-04  6.197043e-02 
 8.351608e-04  6.190219e-02 
 1.232856e-03  6.186952e-02 
 1.630552e-03  6.185214e-02 
 2.028248e-03  6.187231e-02 
 2.425943e-03  6.190307e-02 
 2.823639e-03  6.202385e-02 
 3.221335e-03  6.224908e-02 
 3.619030e-03  6.250161e-02 
 4.016726e-03  6.274794e-02 
 4.414421e-03  6.300148e-02 
 4.812117e-03  6.330752e-02 
 5.209813e-03  6.369538e-02 
 5.607508e-03  6.409151e-02 
 6.005204e-03  6.441751e-02 
 6.402900e-03  6.465510e-02 
 6.800595e-03  6.476396e-02 
 7.198291e-03  6.474693e-02 
 7.595986e-03  6.455797e-02 
 7.993682e-03  6.425061e-02 
 8.391378e-03  6.377277e-02 
 8.789073e-03  6.308749e-02 
 9.186769e-03  6.221140e-02 
 9.584465e-03  6.119795e-02 
 9.982160e-03  5.998292e-02 
 1.037986e-02  5.858380e-02 
 1.077755e-02  5.690508e-02 
 1.117525e-02  5.501353e-02 
 1.157294e-02  5.289445e-02 
 1.197064e-02  5.057757e-02 
 1.236833e-02  4.802027e-02 
 1.276603e-02  4.524790e-02 
 1.316373e-02  4.223991e-02 
 1.356142e-02  3.897594e-02 
 1.395912e-02  3.554911e-02 
 1.435681e-02  3.203951e-02 
 1.475451e-02  2.842228e-02 
 1.515220e-02  2.471570e-02 
 1.554990e-02  2.082140e-02 
 1.594759e-02  1.678870e-02 
 1.634529e-02  1.268493e-02 
 1.674299e-02  8.538185e-03 
 1.714068e-02  4.330548e-03 
 1.753838e-02  2.189729e-05 
 1.793607e-02 -4.420364e-03 
 1.833377e-02 -9.066117e-03 
 1.873146e-02 -1.384171e-02 
 1.912916e-02 -1.875896e-02 
 1.952686e-02 -2.382972e-02 
 1.992455e-02 -2.906609e-02 
 2.032225e-02 -3.442583e-02 
 2.071994e-02 -3.989570e-02 
 2.111764e-02 -4.547935e-02 
 2.151533e-02 -5.119200e-02 
 2.191303e-02 -5.695223e-02 
 2.231072e-02 -6.277634e-02 
 2.270842e-02 -6.859806e-02 
 2.310612e-02 -7.450240e-02 
 2.350381e-02 -8.050887e-02 
 2.390151e-02 -8.656764e-02 
 2.429920e-02 -9.265187e-02 
 2.469690e-02 -9.869421e-02 
 2.509459e-02 -1.047242e-01 
 2.549229e-02 -1.107201e-01 
 2.588999e-02 -1.166633e-01 
 2.628768e-02 -1.225837e-01 
 2.668538e-02 -1.284961e-01 
 2.708307e-02 -1.343757e-01 
 2.748077e-02 -1.402573e-01 
 2.787846e-02 -1.461197e-01 
 2.827616e-02 -1.519593e-01 
 2.867385e-02 -1.577164e-01 
 2.907155e-02 -1.634041e-01 
 2.946925e-02 -1.690014e-01 
 2.986694e-02 -1.745372e-01 
 3.026464e-02 -1.799923e-01 
 3.066233e-02 -1.852692e-01 
 3.106003e-02 -1.904165e-01 
 3.145772e-02 -1.954178e-01 
 3.185542e-02 -2.003034e-01 
 3.225312e-02 -2.050651e-01 
