         time tilt_bot_s... 
------------- ------------- 
 7.953913e-05  7.957571e-03 
 4.772348e-04  7.842234e-03 
 8.749304e-04  7.494797e-03 
 1.272626e-03  6.939375e-03 
 1.670322e-03  6.170453e-03 
 2.068017e-03  5.206694e-03 
 2.465713e-03  4.018761e-03 
 2.863409e-03  2.592984e-03 
 3.261104e-03  8.632300e-04 
 3.658800e-03 -1.058828e-03 
 4.056495e-03 -3.145097e-03 
 4.454191e-03 -5.416676e-03 
 4.851887e-03 -7.899011e-03 
 5.249582e-03 -1.058445e-02 
 5.647278e-03 -1.346332e-02 
 6.044974e-03 -1.646887e-02 
 6.442669e-03 -1.959999e-02 
 6.840365e-03 -2.284053e-02 
 7.238060e-03 -2.616924e-02 
 7.635756e-03 -2.960612e-02 
 8.033452e-03 -3.313565e-02 
 8.431147e-03 -3.674371e-02 
 8.828843e-03 -4.037054e-02 
 9.226539e-03 -4.401037e-02 
 9.624234e-03 -4.768138e-02 
 1.002193e-02 -5.142852e-02 
 1.041963e-02 -5.519692e-02 
 1.081732e-02 -5.894872e-02 
 1.121502e-02 -6.261700e-02 
 1.161271e-02 -6.629052e-02 
 1.201041e-02 -6.996626e-02 
 1.240810e-02 -7.359815e-02 
 1.280580e-02 -7.723406e-02 
 1.320349e-02 -8.082009e-02 
 1.360119e-02 -8.442459e-02 
 1.399889e-02 -8.806458e-02 
 1.439658e-02 -9.170238e-02 
 1.479428e-02 -9.530887e-02 
 1.519197e-02 -9.895608e-02 
 1.558967e-02 -1.025911e-01 
 1.598736e-02 -1.061838e-01 
 1.638506e-02 -1.097821e-01 
 1.678276e-02 -1.134459e-01 
 1.718045e-02 -1.171353e-01 
 1.757815e-02 -1.208575e-01 
 1.797584e-02 -1.245149e-01 
 1.837354e-02 -1.280935e-01 
 1.877123e-02 -1.316799e-01 
 1.916893e-02 -1.352249e-01 
 1.956662e-02 -1.386719e-01 
 1.996432e-02 -1.420457e-01 
 2.036202e-02 -1.453928e-01 
 2.075971e-02 -1.487189e-01 
 2.115741e-02 -1.520578e-01 
 2.155510e-02 -1.553561e-01 
 2.195280e-02 -1.586287e-01 
 2.235049e-02 -1.619368e-01 
 2.274819e-02 -1.652891e-01 
 2.314589e-02 -1.686344e-01 
 2.354358e-02 -1.719447e-01 
 2.394128e-02 -1.752614e-01 
 2.433897e-02 -1.786074e-01 
 2.473667e-02 -1.820050e-01 
 2.513436e-02 -1.853856e-01 
 2.553206e-02 -1.888030e-01 
 2.592975e-02 -1.922471e-01 
 2.632745e-02 -1.956559e-01 
 2.672515e-02 -1.990503e-01 
 2.712284e-02 -2.024326e-01 
 2.752054e-02 -2.057777e-01 
 2.791823e-02 -2.091489e-01 
 2.831593e-02 -2.124827e-01 
 2.871362e-02 -2.157480e-01 
 2.911132e-02 -2.190191e-01 
 2.950902e-02 -2.223449e-01 
 2.990671e-02 -2.256962e-01 
 3.030441e-02 -2.290082e-01 
 3.070210e-02 -2.322886e-01 
 3.109980e-02 -2.355599e-01 
 3.149749e-02 -2.388627e-01 
 3.189519e-02 -2.421500e-01 
 3.229288e-02 -2.453967e-01 
 3.269058e-02 -2.486059e-01 
 3.308828e-02 -2.517931e-01 
 3.348597e-02 -2.549549e-01 
 3.388367e-02 -2.581092e-01 
 3.428136e-02 -2.612028e-01 
 3.467906e-02 -2.642767e-01 
 3.507675e-02 -2.672483e-01 
 3.547445e-02 -2.701286e-01 
 3.587215e-02 -2.728931e-01 
 3.626984e-02 -2.755821e-01 
 3.666754e-02 -2.781709e-01 
 3.706523e-02 -2.806123e-01 
 3.746293e-02 -2.828895e-01 
 3.786062e-02 -2.850990e-01 
 3.825832e-02 -2.872060e-01 
 3.865602e-02 -2.891787e-01 
 3.905371e-02 -2.909748e-01 
 3.945141e-02 -2.926177e-01 
 3.984910e-02 -2.941531e-01 
 4.024680e-02 -2.956580e-01 
 4.064449e-02 -2.970454e-01 
 4.104219e-02 -2.982656e-01 
 4.143988e-02 -2.993713e-01 
 4.183758e-02 -3.004082e-01 
 4.223528e-02 -3.013571e-01 
 4.263297e-02 -3.022456e-01 
 4.303067e-02 -3.029828e-01 
 4.342836e-02 -3.035823e-01 
 4.382606e-02 -3.040074e-01 
 4.422375e-02 -3.042909e-01 
 4.462145e-02 -3.044542e-01 
 4.501915e-02 -3.045637e-01 
 4.541684e-02 -3.045292e-01 
 4.581454e-02 -3.043267e-01 
 4.621223e-02 -3.039824e-01 
 4.660993e-02 -3.034918e-01 
