         time tilt_full_... 
------------- ------------- 
 3.976956e-04  5.388746e-02 
 7.953913e-04  5.396223e-02 
 1.193087e-03  5.400291e-02 
 1.590783e-03  5.402170e-02 
 1.988478e-03  5.401424e-02 
 2.386174e-03  5.398334e-02 
 2.783869e-03  5.392052e-02 
 3.181565e-03  5.383775e-02 
 3.579261e-03  5.373026e-02 
 3.976956e-03  5.361031e-02 
 4.374652e-03  5.346043e-02 
 4.772348e-03  5.329021e-02 
 5.170043e-03  5.309801e-02 
 5.567739e-03  5.286874e-02 
 5.965434e-03  5.261627e-02 
 6.363130e-03  5.234147e-02 
 6.760826e-03  5.204034e-02 
 7.158521e-03  5.172079e-02 
 7.556217e-03  5.137647e-02 
 7.953913e-03  5.100452e-02 
 8.351608e-03  5.059537e-02 
 8.749304e-03  5.015680e-02 
 9.146999e-03  4.970900e-02 
 9.544695e-03  4.924090e-02 
 9.942391e-03  4.876916e-02 
 1.034009e-02  4.827690e-02 
 1.073778e-02  4.776446e-02 
 1.113548e-02  4.721546e-02 
 1.153317e-02  4.662985e-02 
 1.193087e-02  4.600551e-02 
 1.232856e-02  4.534660e-02 
 1.272626e-02  4.466752e-02 
 1.312396e-02  4.396639e-02 
 1.352165e-02  4.324095e-02 
 1.391935e-02  4.249269e-02 
 1.431704e-02  4.172679e-02 
 1.471474e-02  4.093245e-02 
 1.511243e-02  4.010839e-02 
 1.551013e-02  3.925407e-02 
 1.590783e-02  3.837931e-02 
 1.630552e-02  3.747401e-02 
 1.670322e-02  3.654524e-02 
 1.710091e-02  3.558742e-02 
 1.749861e-02  3.459621e-02 
 1.789630e-02  3.358592e-02 
 1.829400e-02  3.254544e-02 
 1.869169e-02  3.147288e-02 
 1.908939e-02  3.037511e-02 
 1.948709e-02  2.925306e-02 
 1.988478e-02  2.810718e-02 
 2.028248e-02  2.692563e-02 
 2.068017e-02  2.570945e-02 
 2.107787e-02  2.446905e-02 
 2.147556e-02  2.318573e-02 
 2.187326e-02  2.186423e-02 
 2.227096e-02  2.050740e-02 
 2.266865e-02  1.911052e-02 
 2.306635e-02  1.768045e-02 
 2.346404e-02  1.623274e-02 
 2.386174e-02  1.475761e-02 
 2.425943e-02  1.326212e-02 
 2.465713e-02  1.173581e-02 
 2.505482e-02  1.018321e-02 
