         time tilt_low_s... 
------------- ------------- 
 3.976956e-04  5.646066e-02 
 7.953913e-04  5.661646e-02 
 1.193087e-03  5.679008e-02 
 1.590783e-03  5.694262e-02 
 1.988478e-03  5.710603e-02 
 2.386174e-03  5.726885e-02 
 2.783869e-03  5.744694e-02 
 3.181565e-03  5.766767e-02 
 3.579261e-03  5.789290e-02 
 3.976956e-03  5.810137e-02 
 4.374652e-03  5.832981e-02 
 4.772348e-03  5.856438e-02 
 5.170043e-03  5.882407e-02 
 5.567739e-03  5.912166e-02 
 5.965434e-03  5.939741e-02 
 6.363130e-03  5.963707e-02 
 6.760826e-03  5.979466e-02 
 7.158521e-03  5.991146e-02 
 7.556217e-03  5.993939e-02 
 7.953913e-03  5.989330e-02 
 8.351608e-03  5.977604e-02 
 8.749304e-03  5.956775e-02 
 9.146999e-03  5.928666e-02 
 9.544695e-03  5.892560e-02 
 9.942391e-03  5.847801e-02 
 1.034009e-02  5.796836e-02 
 1.073778e-02  5.735671e-02 
 1.113548e-02  5.664265e-02 
 1.153317e-02  5.582032e-02 
 1.193087e-02  5.486799e-02 
 1.232856e-02  5.380966e-02 
 1.272626e-02  5.263847e-02 
 1.312396e-02  5.134946e-02 
 1.352165e-02  4.993198e-02 
 1.391935e-02  4.842111e-02 
 1.431704e-02  4.683326e-02 
 1.471474e-02  4.518696e-02 
 1.511243e-02  4.347707e-02 
 1.551013e-02  4.170991e-02 
 1.590783e-02  3.984283e-02 
 1.630552e-02  3.791176e-02 
 1.670322e-02  3.594149e-02 
 1.710091e-02  3.391016e-02 
 1.749861e-02  3.182018e-02 
 1.789630e-02  2.967067e-02 
 1.829400e-02  2.743538e-02 
 1.869169e-02  2.512187e-02 
 1.908939e-02  2.275647e-02 
 1.948709e-02  2.035369e-02 
 1.988478e-02  1.786951e-02 
 2.028248e-02  1.533394e-02 
 2.068017e-02  1.277406e-02 
 2.107787e-02  1.017839e-02 
 2.147556e-02  7.532599e-03 
 2.187326e-02  4.856656e-03 
 2.227096e-02  2.165101e-03 
 2.266865e-02 -5.500322e-04 
 2.306635e-02 -3.293306e-03 
 2.346404e-02 -6.071434e-03 
 2.386174e-02 -8.879048e-03 
 2.425943e-02 -1.166249e-02 
 2.465713e-02 -1.439272e-02 
 2.505482e-02 -1.711048e-02 
 2.545252e-02 -1.977457e-02 
 2.585022e-02 -2.237450e-02 
 2.624791e-02 -2.493674e-02 
 2.664561e-02 -2.745517e-02 
 2.704330e-02 -2.995742e-02 
