         time tilt_up_se... 
------------- ------------- 
 3.976956e-04  9.309269e-02 
 7.953913e-04  9.321390e-02 
 1.193087e-03  9.332440e-02 
 1.590783e-03  9.345755e-02 
 1.988478e-03  9.358072e-02 
 2.386174e-03  9.371017e-02 
 2.783869e-03  9.382962e-02 
 3.181565e-03  9.394523e-02 
 3.579261e-03  9.406017e-02 
 3.976956e-03  9.421093e-02 
 4.374652e-03  9.433097e-02 
 4.772348e-03  9.445003e-02 
 5.170043e-03  9.454463e-02 
 5.567739e-03  9.459784e-02 
 5.965434e-03  9.465149e-02 
 6.363130e-03  9.471814e-02 
 6.760826e-03  9.480996e-02 
 7.158521e-03  9.491698e-02 
 7.556217e-03  9.505150e-02 
 7.953913e-03  9.519539e-02 
 8.351608e-03  9.533038e-02 
 8.749304e-03  9.545777e-02 
 9.146999e-03  9.563745e-02 
 9.544695e-03  9.585280e-02 
 9.942391e-03  9.611199e-02 
 1.034009e-02  9.640654e-02 
 1.073778e-02  9.673747e-02 
 1.113548e-02  9.705330e-02 
 1.153317e-02  9.734355e-02 
 1.193087e-02  9.762659e-02 
 1.232856e-02  9.790429e-02 
 1.272626e-02  9.819316e-02 
 1.312396e-02  9.848226e-02 
 1.352165e-02  9.879096e-02 
 1.391935e-02  9.911346e-02 
 1.431704e-02  9.942568e-02 
 1.471474e-02  9.968879e-02 
 1.511243e-02  9.991435e-02 
 1.551013e-02  1.000904e-01 
 1.590783e-02  1.002754e-01 
 1.630552e-02  1.004171e-01 
 1.670322e-02  1.005424e-01 
 1.710091e-02  1.006374e-01 
 1.749861e-02  1.007003e-01 
 1.789630e-02  1.007309e-01 
 1.829400e-02  1.007305e-01 
 1.869169e-02  1.006945e-01 
 1.908939e-02  1.006138e-01 
 1.948709e-02  1.004709e-01 
 1.988478e-02  1.002812e-01 
 2.028248e-02  1.000204e-01 
 2.068017e-02  9.968290e-02 
 2.107787e-02  9.930857e-02 
 2.147556e-02  9.886995e-02 
 2.187326e-02  9.834375e-02 
 2.227096e-02  9.774234e-02 
