         time tilt_low_s... 
------------- ------------- 
 1.193087e-04 -3.211132e-02 
 5.170043e-04 -3.287325e-02 
 9.146999e-04 -3.398938e-02 
 1.312396e-03 -3.529193e-02 
 1.710091e-03 -3.679255e-02 
 2.107787e-03 -3.834161e-02 
 2.505482e-03 -3.991818e-02 
 2.903178e-03 -4.150334e-02 
 3.300874e-03 -4.283060e-02 
 3.698569e-03 -4.404155e-02 
 4.096265e-03 -4.462388e-02 
 4.493961e-03 -4.463273e-02 
 4.891656e-03 -4.429281e-02 
 5.289352e-03 -4.370886e-02 
 5.687047e-03 -4.292254e-02 
 6.084743e-03 -4.198780e-02 
 6.482439e-03 -4.090904e-02 
 6.880134e-03 -3.984913e-02 
 7.277830e-03 -3.874829e-02 
 7.675526e-03 -3.779089e-02 
 8.073221e-03 -3.694262e-02 
 8.470917e-03 -3.606563e-02 
 8.868613e-03 -3.495550e-02 
 9.266308e-03 -3.354619e-02 
 9.664004e-03 -3.194849e-02 
 1.006170e-02 -3.049291e-02 
 1.045940e-02 -2.916076e-02 
 1.085709e-02 -2.823742e-02 
 1.125479e-02 -2.752113e-02 
 1.165248e-02 -2.727848e-02 
 1.205018e-02 -2.753737e-02 
 1.244787e-02 -2.809873e-02 
 1.284557e-02 -2.902398e-02 
 1.324326e-02 -3.020542e-02 
 1.364096e-02 -3.138191e-02 
 1.403866e-02 -3.250229e-02 
 1.443635e-02 -3.345704e-02 
 1.483405e-02 -3.447146e-02 
 1.523174e-02 -3.551518e-02 
 1.562944e-02 -3.663354e-02 
 1.602713e-02 -3.774738e-02 
 1.642483e-02 -3.869202e-02 
 1.682253e-02 -3.968361e-02 
 1.722022e-02 -4.066670e-02 
 1.761792e-02 -4.166722e-02 
 1.801561e-02 -4.264949e-02 
 1.841331e-02 -4.353044e-02 
 1.881100e-02 -4.439703e-02 
 1.920870e-02 -4.511958e-02 
 1.960639e-02 -4.573017e-02 
 2.000409e-02 -4.646635e-02 
 2.040179e-02 -4.734321e-02 
 2.079948e-02 -4.848738e-02 
 2.119718e-02 -4.982748e-02 
 2.159487e-02 -5.144725e-02 
 2.199257e-02 -5.318756e-02 
 2.239026e-02 -5.501430e-02 
 2.278796e-02 -5.680517e-02 
 2.318566e-02 -5.852276e-02 
 2.358335e-02 -6.013963e-02 
 2.398105e-02 -6.116457e-02 
 2.437874e-02 -6.164194e-02 
 2.477644e-02 -6.139505e-02 
 2.517413e-02 -6.076437e-02 
 2.557183e-02 -6.001748e-02 
 2.596952e-02 -5.903255e-02 
 2.636722e-02 -5.782454e-02 
 2.676492e-02 -5.630602e-02 
 2.716261e-02 -5.472828e-02 
 2.756031e-02 -5.294219e-02 
 2.795800e-02 -5.098246e-02 
 2.835570e-02 -4.865605e-02 
 2.875339e-02 -4.579760e-02 
 2.915109e-02 -4.236899e-02 
 2.954879e-02 -3.860688e-02 
 2.994648e-02 -3.481026e-02 
 3.034418e-02 -3.136624e-02 
 3.074187e-02 -2.827861e-02 
 3.113957e-02 -2.568993e-02 
 3.153726e-02 -2.330326e-02 
 3.193496e-02 -2.144850e-02 
 3.233265e-02 -2.020819e-02 
 3.273035e-02 -1.930195e-02 
 3.312805e-02 -1.874530e-02 
 3.352574e-02 -1.820126e-02 
 3.392344e-02 -1.777110e-02 
 3.432113e-02 -1.703536e-02 
 3.471883e-02 -1.635720e-02 
 3.511652e-02 -1.551124e-02 
 3.551422e-02 -1.463147e-02 
 3.591192e-02 -1.339794e-02 
 3.630961e-02 -1.187911e-02 
 3.670731e-02 -1.002572e-02 
 3.710500e-02 -8.003691e-03 
 3.750270e-02 -5.531157e-03 
 3.790039e-02 -2.845921e-03 
 3.829809e-02  2.201283e-04 
 3.869578e-02  3.259341e-03 
 3.909348e-02  6.152171e-03 
 3.949118e-02  8.796080e-03 
 3.988887e-02  1.105500e-02 
 4.028657e-02  1.286156e-02 
 4.068426e-02  1.391231e-02 
 4.108196e-02  1.429421e-02 
 4.147965e-02  1.425430e-02 
 4.187735e-02  1.380665e-02 
 4.227505e-02  1.311340e-02 
 4.267274e-02  1.238944e-02 
 4.307044e-02  1.178844e-02 
 4.346813e-02  1.146524e-02 
 4.386583e-02  1.162282e-02 
 4.426352e-02  1.216299e-02 
 4.466122e-02  1.320766e-02 
 4.505891e-02  1.465623e-02 
 4.545661e-02  1.642311e-02 
 4.585431e-02  1.838270e-02 
 4.625200e-02  2.036960e-02 
 4.664970e-02  2.257402e-02 
 4.704739e-02  2.476962e-02 
 4.744509e-02  2.697117e-02 
 4.784278e-02  2.918440e-02 
 4.824048e-02  3.126240e-02 
 4.863818e-02  3.312909e-02 
 4.903587e-02  3.480099e-02 
 4.943357e-02  3.628714e-02 
 4.983126e-02  3.758408e-02 
 5.022896e-02  3.869061e-02 
 5.062665e-02  3.953052e-02 
 5.102435e-02  3.999598e-02 
 5.142204e-02  4.036571e-02 
 5.181974e-02  4.066872e-02 
 5.221744e-02  4.111625e-02 
 5.261513e-02  4.185910e-02 
 5.301283e-02  4.300924e-02 
 5.341052e-02  4.445812e-02 
 5.380822e-02  4.643273e-02 
 5.420591e-02  4.885928e-02 
 5.460361e-02  5.173481e-02 
 5.500131e-02  5.516706e-02 
 5.539900e-02  5.897838e-02 
