         time joist_s2_s... 
------------- ------------- 
 3.976956e-04  6.150477e-09 
 7.953913e-04  5.457062e-09 
 1.193087e-03  4.755004e-09 
 1.590783e-03  4.726895e-09 
 1.988478e-03  5.272805e-09 
 2.386174e-03  6.087922e-09 
 2.783869e-03  6.196131e-09 
 3.181565e-03  6.975111e-09 
 3.579261e-03  5.890532e-09 
 3.976956e-03  5.401020e-09 
 4.374652e-03  4.427767e-09 
 4.772348e-03  3.925568e-09 
 5.170043e-03  3.019570e-09 
 5.567739e-03  2.431777e-09 
 5.965434e-03  2.359012e-09 
 6.363130e-03  2.356562e-09 
 6.760826e-03  2.278375e-09 
 7.158521e-03  2.213658e-09 
 7.556217e-03  2.076107e-09 
 7.953913e-03  1.937055e-09 
 8.351608e-03  1.800598e-09 
 8.749304e-03  1.602969e-09 
 9.146999e-03  1.353133e-09 
 9.544695e-03  1.072907e-09 
 9.942391e-03  8.532423e-10 
 1.034009e-02  7.443797e-10 
 1.073778e-02  5.631438e-10 
 1.113548e-02  5.712796e-10 
 1.153317e-02  4.707640e-10 
 1.193087e-02  4.130488e-10 
 1.232856e-02  3.078834e-10 
 1.272626e-02  4.308169e-10 
 1.312396e-02  1.810151e-10 
 1.352165e-02  2.706672e-10 
 1.391935e-02  1.351616e-10 
 1.431704e-02 -1.793509e-10 
 1.471474e-02 -1.791804e-10 
 1.511243e-02 -4.027754e-10 
 1.551013e-02 -6.964116e-10 
 1.590783e-02 -8.073420e-10 
 1.630552e-02 -1.213454e-09 
 1.670322e-02 -1.706075e-09 
 1.710091e-02 -2.097318e-09 
 1.749861e-02 -2.581312e-09 
 1.789630e-02 -3.164535e-09 
 1.829400e-02 -3.728918e-09 
 1.869169e-02 -4.312231e-09 
 1.908939e-02 -4.915314e-09 
 1.948709e-02 -5.525489e-09 
 1.988478e-02 -6.145847e-09 
 2.028248e-02 -6.766779e-09 
 2.068017e-02 -7.383775e-09 
 2.107787e-02 -8.010593e-09 
 2.147556e-02 -8.636130e-09 
 2.187326e-02 -9.261796e-09 
 2.227096e-02 -9.898538e-09 
 2.266865e-02 -1.053104e-08 
 2.306635e-02 -1.109677e-08 
 2.346404e-02 -1.127733e-08 
 2.386174e-02 -1.118457e-08 
 2.425943e-02 -1.094552e-08 
 2.465713e-02 -1.063644e-08 
 2.505482e-02 -1.081738e-08 
 2.545252e-02 -1.033163e-08 
 2.585022e-02 -1.012526e-08 
 2.624791e-02 -9.685499e-09 
 2.664561e-02 -9.140794e-09 
 2.704330e-02 -9.288199e-09 
 2.744100e-02 -9.132408e-09 
 2.783869e-02 -8.074591e-09 
 2.823639e-02 -8.398771e-09 
 2.863409e-02 -8.158946e-09 
 2.903178e-02 -7.541121e-09 
 2.942948e-02 -7.812775e-09 
 2.982717e-02 -7.556566e-09 
 3.022487e-02 -7.810731e-09 
 3.062256e-02 -8.049414e-09 
 3.102026e-02 -8.065283e-09 
 3.141795e-02 -7.812303e-09 
 3.181565e-02 -7.440581e-09 
 3.221335e-02 -7.075703e-09 
 3.261104e-02 -6.596793e-09 
 3.300874e-02 -6.051710e-09 
 3.340643e-02 -5.402743e-09 
 3.380413e-02 -5.162892e-09 
 3.420182e-02 -4.461296e-09 
 3.459952e-02 -4.184290e-09 
 3.499722e-02 -3.343409e-09 
 3.539491e-02 -3.399002e-09 
 3.579261e-02 -2.608644e-09 
 3.619030e-02 -2.637651e-09 
 3.658800e-02 -2.438658e-09 
 3.698569e-02 -2.551473e-09 
 3.738339e-02 -2.708178e-09 
 3.778108e-02 -2.800489e-09 
 3.817878e-02 -3.069492e-09 
 3.857648e-02 -3.380764e-09 
 3.897417e-02 -3.731248e-09 
 3.937187e-02 -4.116389e-09 
 3.976956e-02 -4.535088e-09 
 4.016726e-02 -4.995552e-09 
 4.056495e-02 -5.508907e-09 
 4.096265e-02 -6.076867e-09 
 4.136035e-02 -6.682025e-09 
 4.175804e-02 -7.343732e-09 
 4.215574e-02 -8.054202e-09 
 4.255343e-02 -8.601787e-09 
 4.295113e-02 -8.917044e-09 
 4.334882e-02 -8.868210e-09 
 4.374652e-02 -8.949659e-09 
