         time total_shea... 
------------- ------------- 
 3.229867e-04 -7.495910e-01 
 6.459733e-04 -7.495810e-01 
 9.689600e-04 -7.495729e-01 
 1.291947e-03 -7.494753e-01 
 1.614933e-03 -7.493214e-01 
 1.937920e-03 -7.494237e-01 
 2.260907e-03 -7.495474e-01 
 2.583893e-03 -7.494862e-01 
 2.906880e-03 -7.494602e-01 
 3.229867e-03 -7.493263e-01 
 3.552853e-03 -7.492082e-01 
 3.875840e-03 -7.491392e-01 
 4.198826e-03 -7.491139e-01 
 4.521813e-03 -7.491701e-01 
 4.844800e-03 -7.491195e-01 
 5.167786e-03 -7.491082e-01 
 5.490773e-03 -7.490795e-01 
 5.813760e-03 -7.490460e-01 
 6.136746e-03 -7.489596e-01 
 6.459733e-03 -7.486988e-01 
 6.782720e-03 -7.485935e-01 
 7.105706e-03 -7.489414e-01 
 7.428693e-03 -7.492628e-01 
 7.751680e-03 -7.489616e-01 
 8.074666e-03 -7.486930e-01 
 8.397653e-03 -7.486412e-01 
 8.720640e-03 -7.484395e-01 
 9.043626e-03 -7.482185e-01 
 9.366613e-03 -7.483752e-01 
 9.689600e-03 -7.485016e-01 
 1.001259e-02 -7.482209e-01 
 1.033557e-02 -7.479859e-01 
 1.065856e-02 -7.482533e-01 
 1.098155e-02 -7.483312e-01 
 1.130453e-02 -7.481851e-01 
 1.162752e-02 -7.481271e-01 
 1.195051e-02 -7.481939e-01 
 1.227349e-02 -7.480319e-01 
 1.259648e-02 -7.476668e-01 
 1.291947e-02 -7.477198e-01 
 1.324245e-02 -7.476399e-01 
 1.356544e-02 -7.475781e-01 
 1.388843e-02 -7.476155e-01 
 1.421141e-02 -7.476465e-01 
 1.453440e-02 -7.475248e-01 
 1.485739e-02 -7.475064e-01 
 1.518037e-02 -7.475668e-01 
 1.550336e-02 -7.475381e-01 
 1.582635e-02 -7.473732e-01 
 1.614933e-02 -7.473872e-01 
 1.647232e-02 -7.474628e-01 
 1.679531e-02 -7.471379e-01 
 1.711829e-02 -7.471219e-01 
 1.744128e-02 -7.470562e-01 
 1.776427e-02 -7.468173e-01 
 1.808725e-02 -7.467622e-01 
 1.841024e-02 -7.468833e-01 
 1.873323e-02 -7.469231e-01 
 1.905621e-02 -7.470005e-01 
 1.937920e-02 -7.468978e-01 
 1.970219e-02 -7.468582e-01 
 2.002517e-02 -7.467576e-01 
 2.034816e-02 -7.466969e-01 
 2.067115e-02 -7.466955e-01 
 2.099413e-02 -7.466859e-01 
 2.131712e-02 -7.466938e-01 
 2.164011e-02 -7.465621e-01 
 2.196309e-02 -7.464469e-01 
 2.228608e-02 -7.463440e-01 
 2.260907e-02 -7.464167e-01 
 2.293205e-02 -7.464169e-01 
 2.325504e-02 -7.464401e-01 
 2.357803e-02 -7.465390e-01 
 2.390101e-02 -7.465314e-01 
 2.422400e-02 -7.464649e-01 
 2.454699e-02 -7.464813e-01 
 2.486997e-02 -7.464987e-01 
 2.519296e-02 -7.464898e-01 
 2.551595e-02 -7.464223e-01 
 2.583893e-02 -7.464420e-01 
 2.616192e-02 -7.463672e-01 
 2.648491e-02 -7.461993e-01 
 2.680789e-02 -7.461111e-01 
 2.713088e-02 -7.460877e-01 
 2.745387e-02 -7.461186e-01 
 2.777685e-02 -7.463806e-01 
 2.809984e-02 -7.465426e-01 
 2.842283e-02 -7.464434e-01 
 2.874581e-02 -7.462197e-01 
 2.906880e-02 -7.461991e-01 
 2.939179e-02 -7.463353e-01 
 2.971477e-02 -7.464090e-01 
 3.003776e-02 -7.465837e-01 
 3.036075e-02 -7.466052e-01 
 3.068373e-02 -7.463996e-01 
 3.100672e-02 -7.461491e-01 
 3.132971e-02 -7.462735e-01 
 3.165269e-02 -7.463398e-01 
 3.197568e-02 -7.464309e-01 
 3.229867e-02 -7.465367e-01 
 3.262165e-02 -7.465663e-01 
 3.294464e-02 -7.465319e-01 
 3.326763e-02 -7.467101e-01 
 3.359061e-02 -7.469209e-01 
 3.391360e-02 -7.469339e-01 
 3.423659e-02 -7.468826e-01 
 3.455957e-02 -7.468468e-01 
 3.488256e-02 -7.467330e-01 
 3.520555e-02 -7.465962e-01 
 3.552853e-02 -7.466256e-01 
 3.585152e-02 -7.468768e-01 
 3.617451e-02 -7.468839e-01 
 3.649749e-02 -7.468789e-01 
 3.682048e-02 -7.472393e-01 
 3.714347e-02 -7.473604e-01 
 3.746645e-02 -7.473165e-01 
 3.778944e-02 -7.472929e-01 
 3.811243e-02 -7.472972e-01 
 3.843541e-02 -7.473141e-01 
