         time tiltx_bot_... 
------------- ------------- 
 3.229919e-04 -2.283360e-03 
 6.459839e-04 -2.283327e-03 
 9.689758e-04 -2.283293e-03 
 1.291968e-03 -2.283259e-03 
 1.614960e-03 -2.283225e-03 
 1.937952e-03 -2.283191e-03 
 2.260943e-03 -2.283158e-03 
 2.583935e-03 -2.283125e-03 
 2.906927e-03 -2.283092e-03 
 3.229919e-03 -2.283061e-03 
 3.552911e-03 -2.283029e-03 
 3.875903e-03 -2.282999e-03 
 4.198895e-03 -2.282969e-03 
 4.521887e-03 -2.282941e-03 
 4.844879e-03 -2.282914e-03 
 5.167871e-03 -2.282887e-03 
 5.490863e-03 -2.282862e-03 
 5.813855e-03 -2.282839e-03 
 6.136847e-03 -2.282818e-03 
 6.459838e-03 -2.282799e-03 
 6.782830e-03 -2.282783e-03 
 7.105822e-03 -2.282768e-03 
 7.428814e-03 -2.282757e-03 
 7.751806e-03 -2.282748e-03 
 8.074798e-03 -2.282741e-03 
 8.397790e-03 -2.282739e-03 
 8.720782e-03 -2.282739e-03 
 9.043774e-03 -2.282742e-03 
 9.366766e-03 -2.282749e-03 
 9.689758e-03 -2.282759e-03 
 1.001275e-02 -2.282772e-03 
 1.033574e-02 -2.282790e-03 
 1.065873e-02 -2.282812e-03 
 1.098173e-02 -2.282839e-03 
 1.130472e-02 -2.282870e-03 
 1.162771e-02 -2.282907e-03 
 1.195070e-02 -2.282949e-03 
 1.227369e-02 -2.282996e-03 
 1.259669e-02 -2.283048e-03 
 1.291968e-02 -2.283107e-03 
 1.324267e-02 -2.283172e-03 
 1.356566e-02 -2.283243e-03 
 1.388865e-02 -2.283319e-03 
 1.421164e-02 -2.283401e-03 
 1.453464e-02 -2.283489e-03 
 1.485763e-02 -2.283583e-03 
 1.518062e-02 -2.283683e-03 
 1.550361e-02 -2.283789e-03 
 1.582660e-02 -2.283901e-03 
 1.614960e-02 -2.284019e-03 
 1.647259e-02 -2.284144e-03 
 1.679558e-02 -2.284275e-03 
 1.711857e-02 -2.284412e-03 
 1.744156e-02 -2.284555e-03 
 1.776456e-02 -2.284703e-03 
 1.808755e-02 -2.284857e-03 
 1.841054e-02 -2.285017e-03 
 1.873353e-02 -2.285182e-03 
 1.905652e-02 -2.285351e-03 
 1.937952e-02 -2.285524e-03 
 1.970251e-02 -2.285702e-03 
 2.002550e-02 -2.285884e-03 
 2.034849e-02 -2.286070e-03 
 2.067148e-02 -2.286259e-03 
 2.099447e-02 -2.286451e-03 
 2.131747e-02 -2.286648e-03 
 2.164046e-02 -2.286848e-03 
 2.196345e-02 -2.287051e-03 
 2.228644e-02 -2.287257e-03 
 2.260943e-02 -2.287466e-03 
 2.293243e-02 -2.287677e-03 
 2.325542e-02 -2.287891e-03 
 2.357841e-02 -2.288107e-03 
 2.390140e-02 -2.288324e-03 
 2.422439e-02 -2.288542e-03 
 2.454739e-02 -2.288761e-03 
 2.487038e-02 -2.288981e-03 
 2.519337e-02 -2.289201e-03 
 2.551636e-02 -2.289422e-03 
 2.583935e-02 -2.289643e-03 
 2.616235e-02 -2.289863e-03 
 2.648534e-02 -2.290083e-03 
 2.680833e-02 -2.290303e-03 
 2.713132e-02 -2.290522e-03 
 2.745431e-02 -2.290739e-03 
 2.777731e-02 -2.290955e-03 
