         time joist_s1_s... 
------------- ------------- 
 9.646591e-05 -6.252296e-01 
 4.180190e-04 -6.251462e-01 
 7.395720e-04 -6.250622e-01 
 1.061125e-03 -6.249776e-01 
 1.382678e-03 -6.248926e-01 
 1.704231e-03 -6.248074e-01 
 2.025784e-03 -6.247220e-01 
 2.347337e-03 -6.246364e-01 
 2.668890e-03 -6.245510e-01 
 2.990443e-03 -6.244656e-01 
 3.311996e-03 -6.243804e-01 
 3.633549e-03 -6.242956e-01 
 3.955102e-03 -6.242112e-01 
 4.276655e-03 -6.241273e-01 
 4.598209e-03 -6.240440e-01 
 4.919762e-03 -6.239615e-01 
 5.241315e-03 -6.238797e-01 
 5.562868e-03 -6.237987e-01 
 5.884421e-03 -6.237187e-01 
 6.205974e-03 -6.236397e-01 
 6.527527e-03 -6.235618e-01 
 6.849080e-03 -6.234849e-01 
 7.170633e-03 -6.234092e-01 
 7.492186e-03 -6.233348e-01 
 7.813739e-03 -6.232617e-01 
 8.135292e-03 -6.231900e-01 
 8.456845e-03 -6.231197e-01 
 8.778398e-03 -6.230511e-01 
 9.099951e-03 -6.229840e-01 
 9.421504e-03 -6.229187e-01 
 9.743057e-03 -6.228550e-01 
 1.006461e-02 -6.227932e-01 
 1.038616e-02 -6.227333e-01 
 1.070772e-02 -6.226752e-01 
 1.102927e-02 -6.226190e-01 
 1.135082e-02 -6.225648e-01 
 1.167238e-02 -6.225126e-01 
 1.199393e-02 -6.224624e-01 
 1.231548e-02 -6.224143e-01 
 1.263703e-02 -6.223682e-01 
 1.295859e-02 -6.223243e-01 
 1.328014e-02 -6.222826e-01 
 1.360169e-02 -6.222430e-01 
 1.392325e-02 -6.222056e-01 
 1.424480e-02 -6.221704e-01 
 1.456635e-02 -6.221373e-01 
 1.488791e-02 -6.221063e-01 
 1.520946e-02 -6.220775e-01 
 1.553101e-02 -6.220507e-01 
 1.585256e-02 -6.220260e-01 
 1.617412e-02 -6.220033e-01 
 1.649567e-02 -6.219826e-01 
 1.681722e-02 -6.219639e-01 
 1.713878e-02 -6.219471e-01 
 1.746033e-02 -6.219323e-01 
 1.778188e-02 -6.219194e-01 
 1.810344e-02 -6.219083e-01 
 1.842499e-02 -6.218991e-01 
 1.874654e-02 -6.218916e-01 
 1.906810e-02 -6.218860e-01 
 1.938965e-02 -6.218820e-01 
 1.971120e-02 -6.218796e-01 
 2.003275e-02 -6.218789e-01 
 2.035431e-02 -6.218797e-01 
 2.067586e-02 -6.218821e-01 
 2.099741e-02 -6.218860e-01 
 2.131897e-02 -6.218914e-01 
 2.164052e-02 -6.218983e-01 
 2.196207e-02 -6.219067e-01 
 2.228363e-02 -6.219164e-01 
 2.260518e-02 -6.219277e-01 
 2.292673e-02 -6.219404e-01 
 2.324828e-02 -6.219545e-01 
 2.356984e-02 -6.219701e-01 
 2.389139e-02 -6.219871e-01 
 2.421294e-02 -6.220055e-01 
 2.453450e-02 -6.220254e-01 
 2.485605e-02 -6.220466e-01 
 2.517760e-02 -6.220694e-01 
 2.549916e-02 -6.220935e-01 
 2.582071e-02 -6.221191e-01 
 2.614226e-02 -6.221462e-01 
 2.646381e-02 -6.221747e-01 
 2.678537e-02 -6.222047e-01 
 2.710692e-02 -6.222361e-01 
 2.742847e-02 -6.222690e-01 
 2.775003e-02 -6.223033e-01 
 2.807158e-02 -6.223391e-01 
 2.839313e-02 -6.223763e-01 
 2.871469e-02 -6.224150e-01 
 2.903624e-02 -6.224553e-01 
 2.935779e-02 -6.224970e-01 
 2.967934e-02 -6.225402e-01 
 3.000090e-02 -6.225849e-01 
 3.032245e-02 -6.226312e-01 
 3.064400e-02 -6.226789e-01 
 3.096556e-02 -6.227282e-01 
 3.128711e-02 -6.227790e-01 
 3.160866e-02 -6.228313e-01 
 3.193022e-02 -6.228850e-01 
 3.225177e-02 -6.229402e-01 
 3.257332e-02 -6.229969e-01 
 3.289487e-02 -6.230551e-01 
 3.321643e-02 -6.231148e-01 
 3.353798e-02 -6.231760e-01 
 3.385953e-02 -6.232387e-01 
 3.418109e-02 -6.233030e-01 
 3.450264e-02 -6.233689e-01 
 3.482419e-02 -6.234364e-01 
 3.514575e-02 -6.235055e-01 
 3.546730e-02 -6.235762e-01 
 3.578885e-02 -6.236485e-01 
 3.611040e-02 -6.237225e-01 
 3.643196e-02 -6.237981e-01 
 3.675351e-02 -6.238754e-01 
 3.707506e-02 -6.239543e-01 
 3.739662e-02 -6.240349e-01 
 3.771817e-02 -6.241172e-01 
 3.803972e-02 -6.242011e-01 
 3.836128e-02 -6.242868e-01 
 3.868283e-02 -6.243742e-01 
 3.900438e-02 -6.244633e-01 
 3.932593e-02 -6.245541e-01 
 3.964749e-02 -6.246466e-01 
 3.996904e-02 -6.247408e-01 
 4.029059e-02 -6.248365e-01 
 4.061215e-02 -6.249338e-01 
 4.093370e-02 -6.250327e-01 
 4.125525e-02 -6.251330e-01 
 4.157681e-02 -6.252348e-01 
 4.189836e-02 -6.253380e-01 
 4.221991e-02 -6.254426e-01 
