run,record,scale,table_file,record_dur_s,T_end,T_end_over_Tinit
1,HU12,0.5,vel_HU.txt,35.9467,0.089422,0.9433
2,HU12,0.75,vel_HU.txt,35.9467,0.090657,0.9563
3,EC40,0.2,vel_EC.txt,39.5922,0.071658,0.7559
4,HU12,1.0,vel_HU.txt,35.9467,0.071619,0.7555
5,HU12,1.25,vel_HU.txt,35.9467,0.072058,0.7601
6,EC40,0.3,vel_EC.txt,39.5922,0.067441,0.7114
7,HU12,1.5,vel_HU.txt,35.9467,0.066671,0.7033
8,EC40,0.4,vel_EC.txt,39.5922,0.067436,0.7114
9,HU12,1.75,vel_HU.txt,35.9467,0.063622,0.6711
10,HU12,2.0,vel_HU.txt,35.9467,0.06341,0.6689
11,EC40,0.5,vel_EC.txt,39.5922,0.070086,0.7393
12,HU12,2.25,vel_HU.txt,35.9467,0.059973,0.6326
13,HU12,2.5,vel_HU.txt,35.9467,0.060368,0.6368
14,HU12,2.75,vel_HU.txt,35.9467,0.06057,0.6389
15,HU12,3.0,vel_HU.txt,35.9467,0.060989,0.6433
16,HU12,3.5,vel_HU.txt,35.9467,0.063068,0.6653
17,HU12,4.0,vel_HU.txt,35.9467,0.063239,0.6671
18,HU12,4.5,vel_HU.txt,35.9467,0.064417,0.6795
19,HU12,5.0,vel_HU.txt,35.9467,0.067809,0.7153
20,HU12,5.5,vel_HU.txt,35.9467,0.068988,0.7277
21,HU12,6.0,vel_HU.txt,35.9467,0.073545,0.7758
22,FR76,1.0,vel_FR.txt,17.346,0.082679,0.8721
23,FR76,1.5,vel_FR.txt,17.346,0.080883,0.8532
24,FR76,1.75,vel_FR.txt,17.346,0.078958,0.8329
25,FR76,2.0,vel_FR.txt,17.346,0.080257,0.8466
