         time tilt_up_se... 
------------- ------------- 
 7.953913e-05  2.715351e-02 
 4.772348e-04  2.502514e-02 
 8.749304e-04  2.278382e-02 
 1.272626e-03  2.053185e-02 
 1.670322e-03  1.859316e-02 
 2.068017e-03  1.683360e-02 
 2.465713e-03  1.520154e-02 
 2.863409e-03  1.391060e-02 
 3.261104e-03  1.274147e-02 
 3.658800e-03  1.135990e-02 
 4.056495e-03  1.012495e-02 
 4.454191e-03  9.381624e-03 
 4.851887e-03  8.898347e-03 
 5.249582e-03  8.654977e-03 
 5.647278e-03  8.513581e-03 
 6.044974e-03  8.506949e-03 
 6.442669e-03  8.544585e-03 
 6.840365e-03  8.021700e-03 
 7.238060e-03  7.430479e-03 
 7.635756e-03  7.058095e-03 
 8.033452e-03  6.984951e-03 
 8.431147e-03  7.073094e-03 
 8.828843e-03  7.166129e-03 
 9.226539e-03  6.955547e-03 
 9.624234e-03  6.348440e-03 
 1.002193e-02  5.532265e-03 
 1.041963e-02  4.642564e-03 
 1.081732e-02  3.763576e-03 
 1.121502e-02  2.867415e-03 
 1.161271e-02  1.790699e-03 
 1.201041e-02  8.270696e-04 
 1.240810e-02 -1.900559e-04 
 1.280580e-02 -1.235277e-03 
 1.320349e-02 -2.218648e-03 
 1.360119e-02 -2.993158e-03 
 1.399889e-02 -3.299234e-03 
 1.439658e-02 -3.552573e-03 
 1.479428e-02 -3.451151e-03 
 1.519197e-02 -3.018577e-03 
 1.558967e-02 -2.450615e-03 
 1.598736e-02 -1.890082e-03 
 1.638506e-02 -1.395614e-03 
 1.678276e-02 -8.614845e-04 
 1.718045e-02 -2.339931e-04 
 1.757815e-02  1.872279e-04 
 1.797584e-02  5.645363e-04 
 1.837354e-02  6.738923e-04 
 1.877123e-02  4.014685e-04 
 1.916893e-02 -4.406765e-04 
 1.956662e-02 -1.327615e-03 
 1.996432e-02 -2.183645e-03 
 2.036202e-02 -2.891350e-03 
 2.075971e-02 -3.427867e-03 
 2.115741e-02 -3.691705e-03 
 2.155510e-02 -3.830516e-03 
 2.195280e-02 -3.748340e-03 
 2.235049e-02 -3.912329e-03 
 2.274819e-02 -4.227685e-03 
 2.314589e-02 -4.802678e-03 
 2.354358e-02 -5.579810e-03 
 2.394128e-02 -6.570076e-03 
 2.433897e-02 -7.768631e-03 
 2.473667e-02 -9.071654e-03 
 2.513436e-02 -1.050722e-02 
 2.553206e-02 -1.182619e-02 
 2.592975e-02 -1.342706e-02 
 2.632745e-02 -1.491794e-02 
 2.672515e-02 -1.626313e-02 
 2.712284e-02 -1.731853e-02 
 2.752054e-02 -1.777491e-02 
 2.791823e-02 -1.761109e-02 
 2.831593e-02 -1.718625e-02 
 2.871362e-02 -1.643425e-02 
 2.911132e-02 -1.523137e-02 
 2.950902e-02 -1.371814e-02 
 2.990671e-02 -1.227683e-02 
