         time tilt_bot_s... 
------------- ------------- 
 1.193087e-04  2.305903e-02 
 5.170043e-04  2.390457e-02 
 9.146999e-04  2.461444e-02 
 1.312396e-03  2.539794e-02 
 1.710091e-03  2.625433e-02 
 2.107787e-03  2.718646e-02 
 2.505482e-03  2.829895e-02 
 2.903178e-03  2.952479e-02 
 3.300874e-03  3.083043e-02 
 3.698569e-03  3.227861e-02 
 4.096265e-03  3.387684e-02 
 4.493961e-03  3.552678e-02 
 4.891656e-03  3.710768e-02 
 5.289352e-03  3.862502e-02 
 5.687047e-03  4.003891e-02 
 6.084743e-03  4.135229e-02 
 6.482439e-03  4.250123e-02 
 6.880134e-03  4.349635e-02 
 7.277830e-03  4.428745e-02 
 7.675526e-03  4.489002e-02 
 8.073221e-03  4.539544e-02 
 8.470917e-03  4.579710e-02 
 8.868613e-03  4.608597e-02 
 9.266308e-03  4.626041e-02 
 9.664004e-03  4.636712e-02 
 1.006170e-02  4.651531e-02 
 1.045940e-02  4.668755e-02 
 1.085709e-02  4.691191e-02 
 1.125479e-02  4.725422e-02 
 1.165248e-02  4.763463e-02 
 1.205018e-02  4.804305e-02 
 1.244787e-02  4.843297e-02 
 1.284557e-02  4.885224e-02 
 1.324326e-02  4.926931e-02 
 1.364096e-02  4.952428e-02 
 1.403866e-02  4.974167e-02 
 1.443635e-02  4.975459e-02 
 1.483405e-02  4.960682e-02 
 1.523174e-02  4.925270e-02 
 1.562944e-02  4.863706e-02 
 1.602713e-02  4.788140e-02 
 1.642483e-02  4.690738e-02 
 1.682253e-02  4.585922e-02 
 1.722022e-02  4.472824e-02 
 1.761792e-02  4.364165e-02 
 1.801561e-02  4.266245e-02 
 1.841331e-02  4.179350e-02 
 1.881100e-02  4.098736e-02 
 1.920870e-02  4.025327e-02 
 1.960639e-02  3.962846e-02 
 2.000409e-02  3.903368e-02 
 2.040179e-02  3.850715e-02 
 2.079948e-02  3.800541e-02 
 2.119718e-02  3.751642e-02 
 2.159487e-02  3.703524e-02 
 2.199257e-02  3.658361e-02 
 2.239026e-02  3.612655e-02 
 2.278796e-02  3.565846e-02 
 2.318566e-02  3.512114e-02 
 2.358335e-02  3.453433e-02 
 2.398105e-02  3.380065e-02 
 2.437874e-02  3.297898e-02 
 2.477644e-02  3.197566e-02 
 2.517413e-02  3.097569e-02 
 2.557183e-02  2.997860e-02 
 2.596952e-02  2.902240e-02 
 2.636722e-02  2.819887e-02 
 2.676492e-02  2.743694e-02 
 2.716261e-02  2.686499e-02 
 2.756031e-02  2.648582e-02 
 2.795800e-02  2.619654e-02 
 2.835570e-02  2.617210e-02 
 2.875339e-02  2.620334e-02 
 2.915109e-02  2.636896e-02 
 2.954879e-02  2.663344e-02 
 2.994648e-02  2.687820e-02 
 3.034418e-02  2.715115e-02 
 3.074187e-02  2.732078e-02 
 3.113957e-02  2.735382e-02 
 3.153726e-02  2.731741e-02 
 3.193496e-02  2.716346e-02 
 3.233265e-02  2.687084e-02 
 3.273035e-02  2.633559e-02 
 3.312805e-02  2.565251e-02 
 3.352574e-02  2.478658e-02 
 3.392344e-02  2.380647e-02 
 3.432113e-02  2.267151e-02 
 3.471883e-02  2.144512e-02 
 3.511652e-02  2.023908e-02 
 3.551422e-02  1.908643e-02 
 3.591192e-02  1.797928e-02 
 3.630961e-02  1.708030e-02 
 3.670731e-02  1.628882e-02 
 3.710500e-02  1.572246e-02 
 3.750270e-02  1.522322e-02 
 3.790039e-02  1.485766e-02 
 3.829809e-02  1.452071e-02 
 3.869578e-02  1.421014e-02 
 3.909348e-02  1.377134e-02 
 3.949118e-02  1.326515e-02 
 3.988887e-02  1.254904e-02 
 4.028657e-02  1.163553e-02 
 4.068426e-02  1.050884e-02 
 4.108196e-02  9.191288e-03 
 4.147965e-02  7.645577e-03 
 4.187735e-02  5.940376e-03 
 4.227505e-02  4.214000e-03 
 4.267274e-02  2.324795e-03 
 4.307044e-02  4.109944e-04 
 4.346813e-02 -1.553296e-03 
 4.386583e-02 -3.420512e-03 
 4.426352e-02 -5.223500e-03 
 4.466122e-02 -6.884042e-03 
 4.505891e-02 -8.341052e-03 
 4.545661e-02 -9.685522e-03 
 4.585431e-02 -1.079333e-02 
 4.625200e-02 -1.165635e-02 
 4.664970e-02 -1.230077e-02 
 4.704739e-02 -1.274836e-02 
 4.744509e-02 -1.312188e-02 
 4.784278e-02 -1.344516e-02 
 4.824048e-02 -1.389350e-02 
 4.863818e-02 -1.447121e-02 
 4.903587e-02 -1.514779e-02 
 4.943357e-02 -1.593852e-02 
 4.983126e-02 -1.685170e-02 
 5.022896e-02 -1.795838e-02 
 5.062665e-02 -1.909357e-02 
 5.102435e-02 -2.039673e-02 
 5.142204e-02 -2.170259e-02 
 5.181974e-02 -2.304635e-02 
 5.221744e-02 -2.437588e-02 
 5.261513e-02 -2.569474e-02 
 5.301283e-02 -2.688329e-02 
 5.341052e-02 -2.786731e-02 
 5.380822e-02 -2.854253e-02 
 5.420591e-02 -2.896506e-02 
 5.460361e-02 -2.914606e-02 
 5.500131e-02 -2.911208e-02 
 5.539900e-02 -2.873044e-02 
 5.579670e-02 -2.826833e-02 
 5.619439e-02 -2.762955e-02 
 5.659209e-02 -2.697711e-02 
 5.698978e-02 -2.633463e-02 
 5.738748e-02 -2.576713e-02 
 5.778517e-02 -2.536224e-02 
 5.818287e-02 -2.521089e-02 
 5.858057e-02 -2.529024e-02 
 5.897826e-02 -2.569842e-02 
 5.937596e-02 -2.625094e-02 
 5.977365e-02 -2.704195e-02 
 6.017135e-02 -2.791940e-02 
 6.056904e-02 -2.893481e-02 
 6.096674e-02 -2.990165e-02 
 6.136444e-02 -3.078343e-02 
 6.176213e-02 -3.153085e-02 
 6.215983e-02 -3.212934e-02 
 6.255752e-02 -3.262703e-02 
 6.295522e-02 -3.303060e-02 
 6.335291e-02 -3.327635e-02 
 6.375061e-02 -3.342656e-02 
 6.414830e-02 -3.345796e-02 
 6.454600e-02 -3.338832e-02 
 6.494370e-02 -3.332688e-02 
 6.534139e-02 -3.316148e-02 
 6.573909e-02 -3.299708e-02 
 6.613678e-02 -3.291403e-02 
 6.653448e-02 -3.292578e-02 
 6.693217e-02 -3.315021e-02 
 6.732987e-02 -3.364905e-02 
 6.772757e-02 -3.431165e-02 
