         time tilt_full_... 
------------- ------------- 
 3.181565e-04  2.133385e-02 
 7.158521e-04  2.155157e-02 
 1.113548e-03  2.174358e-02 
 1.511243e-03  2.191806e-02 
 1.908939e-03  2.207418e-02 
 2.306635e-03  2.222122e-02 
 2.704330e-03  2.235616e-02 
 3.102026e-03  2.247790e-02 
 3.499722e-03  2.259107e-02 
 3.897417e-03  2.269568e-02 
 4.295113e-03  2.279369e-02 
 4.692808e-03  2.289342e-02 
 5.090504e-03  2.299789e-02 
 5.488200e-03  2.310756e-02 
 5.885895e-03  2.322955e-02 
 6.283591e-03  2.335921e-02 
 6.681287e-03  2.349684e-02 
 7.078982e-03  2.362827e-02 
 7.476678e-03  2.375135e-02 
 7.874373e-03  2.385363e-02 
 8.272069e-03  2.393100e-02 
 8.669765e-03  2.398374e-02 
 9.067460e-03  2.400613e-02 
 9.465156e-03  2.399765e-02 
 9.862852e-03  2.396274e-02 
 1.026055e-02  2.389960e-02 
 1.065824e-02  2.381927e-02 
 1.105594e-02  2.372759e-02 
 1.145363e-02  2.363149e-02 
 1.185133e-02  2.354171e-02 
 1.224903e-02  2.347450e-02 
 1.264672e-02  2.343240e-02 
 1.304442e-02  2.342199e-02 
 1.344211e-02  2.344893e-02 
 1.383981e-02  2.351898e-02 
 1.423750e-02  2.363381e-02 
 1.463520e-02  2.379030e-02 
 1.503289e-02  2.398187e-02 
 1.543059e-02  2.420769e-02 
 1.582829e-02  2.445084e-02 
 1.622598e-02  2.469283e-02 
 1.662368e-02  2.491956e-02 
 1.702137e-02  2.511088e-02 
 1.741907e-02  2.526311e-02 
 1.781676e-02  2.536535e-02 
 1.821446e-02  2.541604e-02 
 1.861216e-02  2.542863e-02 
 1.900985e-02  2.540567e-02 
 1.940755e-02  2.535584e-02 
 1.980524e-02  2.529386e-02 
 2.020294e-02  2.523032e-02 
 2.060063e-02  2.517253e-02 
 2.099833e-02  2.512809e-02 
 2.139602e-02  2.510262e-02 
 2.179372e-02  2.510278e-02 
 2.219142e-02  2.513009e-02 
 2.258911e-02  2.518215e-02 
 2.298681e-02  2.525618e-02 
 2.338450e-02  2.534609e-02 
 2.378220e-02  2.544538e-02 
 2.417989e-02  2.554303e-02 
 2.457759e-02  2.563062e-02 
 2.497529e-02  2.569804e-02 
 2.537298e-02  2.573301e-02 
 2.577068e-02  2.572621e-02 
 2.616837e-02  2.566693e-02 
 2.656607e-02  2.554653e-02 
 2.696376e-02  2.536190e-02 
 2.736146e-02  2.511525e-02 
 2.775915e-02  2.481775e-02 
 2.815685e-02  2.448035e-02 
 2.855455e-02  2.411932e-02 
 2.895224e-02  2.375413e-02 
 2.934994e-02  2.339883e-02 
 2.974763e-02  2.306073e-02 
 3.014533e-02  2.274933e-02 
 3.054302e-02  2.246459e-02 
 3.094072e-02  2.220960e-02 
 3.133842e-02  2.198940e-02 
 3.173611e-02  2.180421e-02 
 3.213381e-02  2.165230e-02 
 3.253150e-02  2.152477e-02 
 3.292920e-02  2.141140e-02 
 3.332689e-02  2.129852e-02 
 3.372459e-02  2.116707e-02 
 3.412228e-02  2.100557e-02 
 3.451998e-02  2.080004e-02 
 3.491768e-02  2.053537e-02 
 3.531537e-02  2.020499e-02 
 3.571307e-02  1.980366e-02 
 3.611076e-02  1.933810e-02 
 3.650846e-02  1.881041e-02 
 3.690615e-02  1.823210e-02 
 3.730385e-02  1.761738e-02 
 3.770155e-02  1.698646e-02 
 3.809924e-02  1.635589e-02 
 3.849694e-02  1.573400e-02 
