         time tilt_beam_... 
------------- ------------- 
 3.181565e-04 -6.211449e-02 
 7.158521e-04 -6.222008e-02 
 1.113548e-03 -6.237519e-02 
 1.511243e-03 -6.258393e-02 
 1.908939e-03 -6.284824e-02 
 2.306635e-03 -6.316557e-02 
 2.704330e-03 -6.353818e-02 
 3.102026e-03 -6.397233e-02 
 3.499722e-03 -6.447024e-02 
 3.897417e-03 -6.503627e-02 
 4.295113e-03 -6.566976e-02 
 4.692808e-03 -6.637371e-02 
 5.090504e-03 -6.714233e-02 
 5.488200e-03 -6.796089e-02 
 5.885895e-03 -6.881752e-02 
 6.283591e-03 -6.969219e-02 
 6.681287e-03 -7.057239e-02 
 7.078982e-03 -7.145903e-02 
 7.476678e-03 -7.235301e-02 
 7.874373e-03 -7.324845e-02 
 8.272069e-03 -7.414631e-02 
 8.669765e-03 -7.505054e-02 
 9.067460e-03 -7.596228e-02 
 9.465156e-03 -7.687618e-02 
 9.862852e-03 -7.779675e-02 
 1.026055e-02 -7.872475e-02 
 1.065824e-02 -7.966527e-02 
 1.105594e-02 -8.062751e-02 
 1.145363e-02 -8.161947e-02 
 1.185133e-02 -8.264586e-02 
 1.224903e-02 -8.370232e-02 
 1.264672e-02 -8.479211e-02 
 1.304442e-02 -8.591655e-02 
 1.344211e-02 -8.707270e-02 
 1.383981e-02 -8.825642e-02 
 1.423750e-02 -8.945498e-02 
 1.463520e-02 -9.066454e-02 
 1.503289e-02 -9.187912e-02 
 1.543059e-02 -9.309238e-02 
 1.582829e-02 -9.430288e-02 
 1.622598e-02 -9.550630e-02 
 1.662368e-02 -9.670010e-02 
 1.702137e-02 -9.788565e-02 
 1.741907e-02 -9.906488e-02 
 1.781676e-02 -1.002379e-01 
 1.821446e-02 -1.014048e-01 
 1.861216e-02 -1.025690e-01 
 1.900985e-02 -1.037380e-01 
 1.940755e-02 -1.049225e-01 
 1.980524e-02 -1.061302e-01 
 2.020294e-02 -1.073618e-01 
 2.060063e-02 -1.086181e-01 
 2.099833e-02 -1.098975e-01 
 2.139602e-02 -1.111964e-01 
 2.179372e-02 -1.125096e-01 
 2.219142e-02 -1.138333e-01 
 2.258911e-02 -1.151627e-01 
 2.298681e-02 -1.164918e-01 
 2.338450e-02 -1.178117e-01 
 2.378220e-02 -1.191155e-01 
 2.417989e-02 -1.203859e-01 
 2.457759e-02 -1.216019e-01 
 2.497529e-02 -1.227498e-01 
 2.537298e-02 -1.238249e-01 
 2.577068e-02 -1.248310e-01 
 2.616837e-02 -1.257787e-01 
 2.656607e-02 -1.266828e-01 
 2.696376e-02 -1.275605e-01 
 2.736146e-02 -1.284263e-01 
 2.775915e-02 -1.292836e-01 
 2.815685e-02 -1.301378e-01 
 2.855455e-02 -1.309914e-01 
 2.895224e-02 -1.318476e-01 
 2.934994e-02 -1.327129e-01 
 2.974763e-02 -1.335969e-01 
 3.014533e-02 -1.344996e-01 
 3.054302e-02 -1.354183e-01 
 3.094072e-02 -1.363474e-01 
 3.133842e-02 -1.372722e-01 
 3.173611e-02 -1.381819e-01 
 3.213381e-02 -1.390743e-01 
 3.253150e-02 -1.399468e-01 
 3.292920e-02 -1.408019e-01 
 3.332689e-02 -1.416353e-01 
 3.372459e-02 -1.424454e-01 
 3.412228e-02 -1.432220e-01 
 3.451998e-02 -1.439596e-01 
 3.491768e-02 -1.446562e-01 
 3.531537e-02 -1.453063e-01 
 3.571307e-02 -1.459087e-01 
 3.611076e-02 -1.464680e-01 
 3.650846e-02 -1.469879e-01 
 3.690615e-02 -1.474750e-01 
 3.730385e-02 -1.479377e-01 
 3.770155e-02 -1.483742e-01 
 3.809924e-02 -1.487986e-01 
 3.849694e-02 -1.492100e-01 
 3.889463e-02 -1.496119e-01 
 3.929233e-02 -1.499902e-01 
 3.969002e-02 -1.503358e-01 
 4.008772e-02 -1.506361e-01 
 4.048541e-02 -1.508800e-01 
 4.088311e-02 -1.510610e-01 
 4.128081e-02 -1.511724e-01 
 4.167850e-02 -1.512139e-01 
 4.207620e-02 -1.511815e-01 
 4.247389e-02 -1.510737e-01 
 4.287159e-02 -1.508889e-01 
 4.326928e-02 -1.506172e-01 
 4.366698e-02 -1.502631e-01 
 4.406468e-02 -1.498223e-01 
 4.446237e-02 -1.493075e-01 
 4.486007e-02 -1.487395e-01 
 4.525776e-02 -1.481277e-01 
 4.565546e-02 -1.474916e-01 
 4.605315e-02 -1.468404e-01 
 4.645085e-02 -1.461813e-01 
 4.684854e-02 -1.455191e-01 
 4.724624e-02 -1.448525e-01 
 4.764394e-02 -1.441865e-01 
 4.804163e-02 -1.435178e-01 
 4.843933e-02 -1.428491e-01 
 4.883702e-02 -1.421830e-01 
 4.923472e-02 -1.415103e-01 
 4.963241e-02 -1.408317e-01 
 5.003011e-02 -1.401324e-01 
 5.042781e-02 -1.393999e-01 
 5.082550e-02 -1.386363e-01 
 5.122320e-02 -1.378402e-01 
 5.162089e-02 -1.370053e-01 
 5.201859e-02 -1.361278e-01 
 5.241628e-02 -1.352172e-01 
 5.281398e-02 -1.342765e-01 
 5.321168e-02 -1.333029e-01 
 5.360937e-02 -1.323114e-01 
 5.400707e-02 -1.312986e-01 
 5.440476e-02 -1.302702e-01 
 5.480246e-02 -1.292336e-01 
 5.520015e-02 -1.281992e-01 
 5.559785e-02 -1.271791e-01 
 5.599554e-02 -1.261752e-01 
 5.639324e-02 -1.251939e-01 
 5.679094e-02 -1.242422e-01 
 5.718863e-02 -1.233121e-01 
 5.758633e-02 -1.224025e-01 
 5.798402e-02 -1.214861e-01 
 5.838172e-02 -1.205605e-01 
 5.877941e-02 -1.196191e-01 
 5.917711e-02 -1.186512e-01 
 5.957481e-02 -1.176702e-01 
 5.997250e-02 -1.166644e-01 
 6.037020e-02 -1.156512e-01 
 6.076789e-02 -1.146284e-01 
