         time tilt_full_... 
------------- ------------- 
 3.976956e-04  4.684030e-03 
 7.953913e-04  4.465783e-03 
 1.193087e-03  4.176960e-03 
 1.590783e-03  4.000522e-03 
 1.988478e-03  3.966677e-03 
 2.386174e-03  4.093586e-03 
 2.783869e-03  4.201233e-03 
 3.181565e-03  4.172914e-03 
 3.579261e-03  4.094714e-03 
 3.976956e-03  3.947400e-03 
 4.374652e-03  3.781624e-03 
 4.772348e-03  3.593206e-03 
 5.170043e-03  3.392232e-03 
 5.567739e-03  3.144768e-03 
 5.965434e-03  2.949227e-03 
 6.363130e-03  2.810910e-03 
 6.760826e-03  2.640321e-03 
 7.158521e-03  2.441382e-03 
 7.556217e-03  2.213488e-03 
 7.953913e-03  2.047030e-03 
 8.351608e-03  1.896085e-03 
 8.749304e-03  1.639207e-03 
 9.146999e-03  1.291792e-03 
 9.544695e-03  9.324686e-04 
 9.942391e-03  6.437202e-04 
 1.034009e-02  4.637281e-04 
 1.073778e-02  2.297111e-04 
 1.113548e-02  9.951436e-05 
 1.153317e-02  5.249051e-05 
 1.193087e-02 -1.270197e-04 
 1.232856e-02 -4.199866e-04 
 1.272626e-02 -7.141454e-04 
 1.312396e-02 -1.237441e-03 
 1.352165e-02 -1.798098e-03 
 1.391935e-02 -2.319039e-03 
 1.431704e-02 -2.556957e-03 
 1.471474e-02 -2.724838e-03 
 1.511243e-02 -2.945757e-03 
 1.551013e-02 -3.210833e-03 
 1.590783e-02 -3.514007e-03 
 1.630552e-02 -3.950527e-03 
 1.670322e-02 -4.346223e-03 
 1.710091e-02 -4.614971e-03 
 1.749861e-02 -4.830570e-03 
 1.789630e-02 -4.970926e-03 
 1.829400e-02 -5.005695e-03 
 1.869169e-02 -4.820521e-03 
 1.908939e-02 -4.684336e-03 
 1.948709e-02 -4.724021e-03 
 1.988478e-02 -4.730549e-03 
 2.028248e-02 -4.666899e-03 
 2.068017e-02 -4.547054e-03 
 2.107787e-02 -4.335837e-03 
 2.147556e-02 -4.131665e-03 
 2.187326e-02 -3.861619e-03 
 2.227096e-02 -3.633782e-03 
 2.266865e-02 -3.482425e-03 
 2.306635e-02 -3.234303e-03 
 2.346404e-02 -2.927494e-03 
 2.386174e-02 -2.647015e-03 
 2.425943e-02 -2.278700e-03 
 2.465713e-02 -1.906759e-03 
 2.505482e-02 -1.525815e-03 
 2.545252e-02 -1.211724e-03 
 2.585022e-02 -8.675142e-04 
 2.624791e-02 -3.710694e-04 
 2.664561e-02  2.486301e-04 
 2.704330e-02  1.072906e-03 
 2.744100e-02  2.049602e-03 
 2.783869e-02  3.142592e-03 
 2.823639e-02  4.142674e-03 
 2.863409e-02  5.043186e-03 
 2.903178e-02  5.865464e-03 
 2.942948e-02  6.735717e-03 
 2.982717e-02  7.547028e-03 
 3.022487e-02  8.316282e-03 
 3.062256e-02  9.267151e-03 
 3.102026e-02  1.025564e-02 
 3.141795e-02  1.103116e-02 
 3.181565e-02  1.159682e-02 
 3.221335e-02  1.204011e-02 
 3.261104e-02  1.246186e-02 
 3.300874e-02  1.272249e-02 
 3.340643e-02  1.294380e-02 
 3.380413e-02  1.336241e-02 
 3.420182e-02  1.381342e-02 
 3.459952e-02  1.428960e-02 
 3.499722e-02  1.483752e-02 
 3.539491e-02  1.528023e-02 
 3.579261e-02  1.558134e-02 
 3.619030e-02  1.579246e-02 
 3.658800e-02  1.603177e-02 
 3.698569e-02  1.639779e-02 
 3.738339e-02  1.668221e-02 
 3.778108e-02  1.692399e-02 
 3.817878e-02  1.710903e-02 
 3.857648e-02  1.706970e-02 
 3.897417e-02  1.687856e-02 
 3.937187e-02  1.658890e-02 
 3.976956e-02  1.623749e-02 
 4.016726e-02  1.582920e-02 
 4.056495e-02  1.524441e-02 
 4.096265e-02  1.459830e-02 
 4.136035e-02  1.403240e-02 
 4.175804e-02  1.346924e-02 
 4.215574e-02  1.282319e-02 
 4.255343e-02  1.227533e-02 
 4.295113e-02  1.179147e-02 
 4.334882e-02  1.144259e-02 
 4.374652e-02  1.107913e-02 
 4.414421e-02  1.082839e-02 
 4.454191e-02  1.066364e-02 
 4.493961e-02  1.031337e-02 
 4.533730e-02  1.003752e-02 
 4.573500e-02  9.951613e-03 
 4.613269e-02  9.990938e-03 
 4.653039e-02  9.999571e-03 
 4.692808e-02  9.958585e-03 
 4.732578e-02  9.916686e-03 
 4.772348e-02  9.790697e-03 
 4.812117e-02  9.471812e-03 
 4.851887e-02  9.109530e-03 
 4.891656e-02  8.691453e-03 
 4.931426e-02  8.162624e-03 
 4.971195e-02  7.666062e-03 
 5.010965e-02  7.373711e-03 
 5.050734e-02  7.253449e-03 
 5.090504e-02  7.134736e-03 
 5.130274e-02  6.888246e-03 
 5.170043e-02  6.775216e-03 
 5.209813e-02  6.705849e-03 
 5.249582e-02  6.628566e-03 
 5.289352e-02  6.657047e-03 
 5.329121e-02  6.771968e-03 
 5.368891e-02  6.970512e-03 
 5.408661e-02  7.228487e-03 
 5.448430e-02  7.539574e-03 
 5.488200e-02  7.820373e-03 
 5.527969e-02  8.093254e-03 
 5.567739e-02  8.271341e-03 
 5.607508e-02  8.462742e-03 
 5.647278e-02  8.571198e-03 
 5.687047e-02  8.504553e-03 
 5.726817e-02  8.363188e-03 
 5.766587e-02  8.244028e-03 
 5.806356e-02  8.054340e-03 
 5.846126e-02  7.803475e-03 
 5.885895e-02  7.544674e-03 
 5.925665e-02  7.372567e-03 
 5.965434e-02  7.278848e-03 
 6.005204e-02  7.147670e-03 
 6.044974e-02  7.017935e-03 
 6.084743e-02  6.878541e-03 
 6.124513e-02  6.710662e-03 
 6.164282e-02  6.563783e-03 
 6.204052e-02  6.492265e-03 
 6.243821e-02  6.611217e-03 
 6.283591e-02  6.858799e-03 
 6.323360e-02  6.924321e-03 
 6.363130e-02  6.994088e-03 
 6.402900e-02  7.075169e-03 
 6.442669e-02  6.926432e-03 
 6.482439e-02  6.599256e-03 
 6.522208e-02  6.193549e-03 
 6.561978e-02  5.785490e-03 
 6.601747e-02  5.396651e-03 
 6.641517e-02  5.122756e-03 
 6.681287e-02  4.923204e-03 
 6.721056e-02  4.497582e-03 
 6.760826e-02  3.803613e-03 
 6.800595e-02  3.085778e-03 
 6.840365e-02  2.424910e-03 
 6.880134e-02  1.779113e-03 
 6.919904e-02  1.246200e-03 
 6.959673e-02  8.757932e-04 
 6.999443e-02  6.790348e-04 
 7.039213e-02  5.801485e-04 
 7.078982e-02  5.377831e-04 
 7.118752e-02  5.917552e-04 
 7.158521e-02  6.050850e-04 
 7.198291e-02  7.089980e-04 
 7.238060e-02  8.656999e-04 
 7.277830e-02  1.250203e-03 
 7.317600e-02  1.786875e-03 
 7.357369e-02  2.254144e-03 
